datetime,crypto,currency,price
2025-05-23T19:12:27.379443,BTC,USD,109081.345
2025-05-23T19:12:27.567079,BTC,BRL,616226.6974278
2025-05-23T19:12:27.740179,ETH,USD,2571.535
2025-05-23T19:12:27.920004,ETH,BRL,14529.3086022
2025-05-23T19:12:28.083556,USDT,USD,1.000235
2025-05-23T19:12:28.268009,USDT,BRL,5.6505675714
2025-05-23T19:12:28.453254,BNB,USD,666.8641736435336
2025-05-23T19:12:28.670366,BNB,BRL,3767.520281177665
2025-05-23T19:12:29.064618,XRP,USD,2.35955
2025-05-23T19:12:29.451053,XRP,BRL,13.333636694
2025-05-23T19:12:29.852515,DOGE,USD,0.234515
2025-05-23T19:12:30.014113,DOGE,BRL,1.3249175074333333
2025-05-23T19:12:30.166323,SOL,USD,180.0
2025-05-23T19:12:30.358486,SOL,BRL,1016.9292
2025-05-23T19:12:30.692215,DOT,USD,4.726
2025-05-23T19:12:30.888752,DOT,BRL,26.700041106666667
