datetime,crypto,currency,price
2025-05-23 19:12:27.379443,BTC,USD,109081.34
2025-05-23 19:12:27.567079,BTC,BRL,616226.7
2025-05-23 19:12:27.740179,ETH,USD,2571.54
2025-05-23 19:12:27.920004,ETH,BRL,14529.31
2025-05-23 19:12:28.083556,USDT,USD,1.0
2025-05-23 19:12:28.268009,USDT,BRL,5.65
2025-05-23 19:12:28.453254,BNB,USD,666.86
2025-05-23 19:12:28.670366,BNB,BRL,3767.52
2025-05-23 19:12:29.064618,XRP,USD,2.36
2025-05-23 19:12:29.451053,XRP,BRL,13.33
2025-05-23 19:12:29.852515,DOGE,USD,0.23
2025-05-23 19:12:30.014113,DOGE,BRL,1.32
2025-05-23 19:12:30.166323,SOL,USD,180.0
2025-05-23 19:12:30.358486,SOL,BRL,1016.93
2025-05-23 19:12:30.692215,DOT,USD,4.73
2025-05-23 19:12:30.888752,DOT,BRL,26.7
